Seq.;Área;Nivel1;Nivel2;Nivel3;Nivel4;Nivel5;Nivel6;CDD;Descrição;;
1;300;;;;;;;300;Ciências Sociais;;
2;310;;;;;;;310;Estatística;;
3;320;;;;;;;320;Ciência Política;;
4;330;;;;;;;330;Economia;;
5;340;;;;;;;340;Direito;;
71;340;;;;;;;340;DIREITO;;
11;341;;;;;;;341;DIREITO PÚBLICO;;
134;341;;;;;;;341;DIREITO PÚBLICO;;
39;342;;;;;;;342;DIREITO PRIVADO;;
1614;342;;;;;;;342;DIREITO PRIVADO;;
57;343;;;;;;;343;DIREITO CANÔNICO E ECLESIÁSTICO;;
2473;343;;;;;;;343;DIREITO CANÔNICO E ECLESIÁSTICO;;
66;344;;;;;;;344;DIREITO ROMANO;;
6;350;;;;;;;350;Administração Pública;;
7;360;;;;;;;360;Assistência Social e Instituições;;
8;370;;;;;;;370;Educação;;
9;380;;;;;;;380;Comércio e Comunicações;;
10;390;;;;;;;390;Usos e Costumes ;;
73;340;;;;;;;340.1;Filosofia do Direito. Direito Natural. Direito ideal. Direito racional;;
74;340;;;;;;;340.11;Gnoseologia jurídica (teoria do conhecimento do direito);;
75;340;;;;;;;340.12;Epistemologia jurídica (crítica da ciência do direito, de suas limitações e erros e de seus métodos);;
76;340;;;;;;;340.13;Lógica jurídica (raciocínio jurídico);;
77;340;;;;;;;340.14;Axiologia jurídica (teoria dos valores jurídicos: justiça, ordem, paz etc.);;
78;340;;;;;;;340.15;Deontologia jurídica (estudo dos fins do direito: justiça, segurança, bem comum etc.);;
79;340;;;;;;;340.16;Ontologia jurídica (estudo da essência do direito);;
80;340;;;;;;;340.17;Metafísica jurídica (estudo do direito supra-legal, limite do poder);;
81;340;;;;;;;340.19;Filosofia da história do direito ;;
82;340;;;;;;;340.2;Sociologia jurídica;;
83;340;;;;;;;340.3;Fontes do Direito;;
84;340;;;;;;;340.32;Leis. Direito positivo;;
85;340;;;;;;;340.321;Hierarquia das leis;;
86;340;;;;;;;340.3211;Lei constitucional;;
87;340;;;;;;;340.3212;Emenda à Constituição;;
88;340;;;;;;;340.3213;Lei complementar;;
89;340;;;;;;;340.3214;Lei ordinária;;
90;340;;;;;;;340.3215;Lei delegada;;
91;340;;;;;;;340.3216;Medida Provisória;;
92;340;;;;;;;340.3217;Decreto-lei;;
93;340;;;;;;;340.3218;Lei auto-aplicável e lei regulamentável;;
94;340;;;;;;;340.3219;Regulamento. Decreto Regulamentar. Decreto autônomo;;
95;340;;;;;;;340.322;Obrigatoriedade das leis. Eficácia;;
96;340;;;;;;;340.323;Eficácia da lei no tempo. Direito intertemporal. Conflitos de leis no tempo;;
97;340;;;;;;;340.3231;Vigência;;
98;340;;;;;;;340.3232;Revogação;;
99;340;;;;;;;340.3233;Desuso;;
100;340;;;;;;;340.3234;Retroatividade e irretroatividade das leis;;
101;340;;;;;;;340.324;Eficácia da lei no espaço;;
102;340;;;;;;;340.326;Interpretação da lei. Hermenêutica;;
103;340;;;;;;;340.328;Elaboração, redação, alteração e consolidação das leis. Técnica legislativa;;
104;340;;;;;;;340.34;Outras fontes de Direito além das leis. Direito usual. Direito consuetudinário;;
105;340;;;;;;;340.4;Introdução à ciência jurídica;;
106;340;;;;;;;340.44;Terminologia jurídica;;
107;340;;;;;;;340.5;Legislação comparada. Direito comparado;;
108;340;;;;;;;340.6;Jurisprudência;;
109;340;;;;;;;340.61;Jurisprudência civil;;
110;340;;;;;;;340.62;Jurisprudência comercial;;
111;340;;;;;;;340.63;Jurisprudência penal;;
112;340;;;;;;;340.64;Jurisprudência processual;;
113;340;;;;;;;340.65;Jurisprudência processual civil e comercial;;
114;340;;;;;;;340.66;Jurisprudência processual penal;;
115;340;;;;;;;340.68;Jurisprudência trabalhista;;
116;340;;;;;;;340.69;Jurisprudência administrativa;;
117;340;;;;;;;340.691;Jurisprudência da Consultoria-Geral da República;;
118;340;;;;;;;340.692;Jurisprudência fiscal;;
119;340;;;;;;;340.693;Jurisprudência do DASP;;
120;340;;;;;;;340.694;Jurisprudência da Procuradoria da Fazenda Nacional;;
121;340;;;;;;;340.7;Medicina legal;;
122;340;;;;;;;340.71;Sexologia forense;;
123;340;;;;;;;340.72;Atentados contra a saúde, a vida e a integridade das pessoas;;
124;340;;;;;;;340.73;Psicopatologia forense;;
125;340;;;;;;;340.74;Questões relativas à pessoa viva: idade, sexo, identidade etc;;
126;340;;;;;;;340.75;Doenças simuladas, provocadas, dissimuladas e imputadas;;
127;340;;;;;;;340.76;Perícias médico-legais;;
128;340;;;;;;;340.77;Química legal. Toxicologia químico-legal;;
129;340;;;;;;;340.78;Questões científicas e técnicas de caráter legal;;
130;340;;;;;;;340.79;Peritos. Função do médico-legista;;
131;340;;;;;;;340.9;História do Direito;;
133;340;;;;;;;340.92;Processos célebres;;
132;340;;;;;;;340.981;História do Direito Brasileiro;;
12;341;;;;;;;341.1;DIREITO INTERNACIONAL PÚBLICO;;
135;341;;;;;;;341.1;DIREITO INTERNACIONAL PÚBLICO;;
136;341;;;;;;;341.11;Organização internacional;;
137;341;;;;;;;341.111;Soberania mundial. Caráter constitucional ou Convencional da Organização internacional;;
138;341;;;;;;;341.112;Sociedade das Nações. Pacto constitutivo (1919);;
139;341;;;;;;;341.113;Nações Unidas (ONU) (1945);;
140;341;;;;;;;341.11301;Assembléia Geral;;
141;341;;;;;;;341.11302;Conselho de Segurança;;
142;341;;;;;;;341.11303;Conselho Econômico e Social;;
143;341;;;;;;;341.11304;Conselho de Tutela;;
144;341;;;;;;;341.11305;Corte Internacional de Justiça. Corte de Haia;;
145;341;;;;;;;341.11306;Secretariado;;
146;341;;;;;;;341.1131;Organizações internacionais gerais especializadas;;
147;341;;;;;;;341.11311;Organização Internacional do Trabalho (OIT);;
148;341;;;;;;;341.11312;Organização das Nações Unidas para a Educação, Ciência e Cultura (UNESCO);;
149;341;;;;;;;341.11313;Organização Mundial da Saúde (OMS);;
150;341;;;;;;;341.11314;Organização para a Alimentação e a Agricultura (FAO);;
151;341;;;;;;;341.11315;Fundo Monetário Internacional (FMI);;
